,Age,Screen_time,Physical_Activities,Time_to_sleep,Sleep_hours,Screen_addiction,Restlessness_decrease_screen,Stress_excessive_screen,Isolation_during_screen,Asthenopia,Headache,Sleepdepr,B/Npain,Obesity,None,Gender,Screen_Affect,Screen_Before_bed,Drowsiness,Low_intr_otherAct
0,22,3,3,2,7,3,1,3,3,0,1,0,0,0,0,1,1,1,0,0
1,22,2,2,1,6,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
2,23,4,4,1,5,4,3,4,3,1,1,1,0,0,0,0,1,1,0,1
3,24,3,3,2,7,3,3,2,3,1,1,0,0,0,0,1,0,1,0,1
4,22,3,2,1,7,2,2,2,3,0,0,0,0,0,1,1,1,1,0,0
5,20,4,5,1,8,1,1,2,1,0,0,0,0,0,1,0,1,0,0,1
6,22,2,4,1,7,3,4,4,4,1,1,0,0,0,0,0,0,1,0,0
7,20,3,5,1,7,2,1,4,1,0,0,0,0,0,1,1,0,1,1,1
8,20,3,2,2,6,4,3,3,3,0,0,1,0,0,0,1,1,1,1,1
9,23,2,3,1,5,3,4,2,1,0,0,0,0,0,1,1,1,1,0,0
10,21,1,3,3,2,5,1,2,1,1,1,1,0,0,0,0,1,1,0,1
11,19,2,1,1,5,1,1,1,4,0,0,0,0,0,1,0,0,1,1,0
12,21,5,5,1,7,4,2,4,1,0,0,0,1,0,0,1,0,1,1,0
13,20,4,3,1,7,4,4,4,3,0,1,0,0,1,0,1,1,1,1,1
14,20,3,3,1,7,3,2,2,1,1,1,0,1,0,0,1,1,1,1,1
15,21,3,4,1,7,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0
16,22,5,3,1,7,3,2,3,3,1,0,0,1,0,0,1,1,1,1,1
17,21,3,2,1,5,3,2,2,2,0,1,0,1,0,0,1,0,1,0,1
18,22,5,2,2,5,5,5,5,3,1,1,0,1,0,0,1,1,1,1,1
19,21,4,2,1,6,3,3,4,3,1,1,0,1,0,0,1,1,1,1,1
20,20,4,2,1,5,2,4,2,3,0,1,1,1,0,0,1,0,1,1,1
21,21,2,2,1,20,3,3,4,3,1,0,1,0,0,0,1,1,1,1,1
22,21,5,4,2,7,5,3,3,5,1,1,1,1,0,0,0,1,1,1,0
23,22,4,3,2,5,3,2,3,4,0,0,0,1,0,0,1,1,1,0,0
24,22,2,5,1,5,3,4,1,4,0,0,0,0,0,1,0,0,0,0,0
25,20,3,2,1,6,4,3,3,4,1,1,0,1,0,0,0,0,1,1,0
26,20,2,3,4,9,3,2,3,4,0,1,0,1,0,0,1,1,1,1,1
27,22,5,5,1,6,4,3,4,4,0,0,0,0,0,1,0,1,1,0,1
28,21,5,2,4,6,5,5,5,5,1,1,1,1,1,0,0,1,1,1,1
29,21,3,2,3,6,4,3,4,3,1,1,1,1,0,0,1,1,1,1,1
30,21,2,5,1,8,1,2,3,1,1,0,0,0,0,0,1,1,0,0,1
31,19,5,3,1,6,3,1,3,3,1,1,1,0,1,0,0,1,1,0,1
32,20,5,2,2,6,3,4,5,1,1,1,1,1,0,0,1,1,1,0,0
33,21,3,5,1,6,3,3,3,3,0,1,0,0,0,0,0,1,1,1,0
34,20,3,5,2,7,2,3,1,2,0,0,0,0,0,1,0,0,1,0,0
35,21,5,1,1,9,3,3,1,2,0,0,1,0,0,0,1,0,1,0,1
36,22,5,1,1,8,4,3,3,3,1,1,1,1,0,0,0,0,1,1,1
37,21,4,1,1,6,3,2,3,3,0,0,0,0,0,1,0,1,1,1,0
38,20,4,3,4,6,4,2,3,5,1,1,1,1,1,0,1,1,1,1,1
39,23,3,3,2,7,3,4,3,2,0,1,0,0,0,0,0,1,1,1,1
40,21,4,4,3,7,5,3,1,5,0,0,0,0,0,1,0,0,1,1,1
41,20,3,3,2,6,2,2,4,2,1,1,1,1,1,0,1,1,0,1,0
42,20,4,4,2,7,3,3,4,3,1,1,1,1,0,0,1,1,1,0,1
43,22,5,1,4,9,5,3,1,5,1,1,1,1,0,0,0,0,1,0,0
44,17,3,2,1,5,3,2,3,2,0,0,0,0,0,1,1,0,1,0,0
45,22,4,3,4,5,4,5,4,4,1,1,1,1,0,0,1,1,1,0,1
46,23,5,4,1,6,4,2,4,4,1,1,1,1,0,0,0,1,1,0,1
47,21,4,2,1,8,1,1,2,2,1,0,0,0,0,0,1,0,1,0,0
48,20,3,4,1,8,2,1,5,3,1,1,0,1,0,0,1,1,1,0,1
49,21,3,3,1,5,3,2,2,4,1,1,1,1,1,0,1,1,1,1,1
50,20,4,3,1,8,3,4,2,2,1,1,0,1,0,0,0,1,1,1,0
51,21,3,2,1,7,3,2,4,2,0,1,0,1,0,0,1,1,0,0,1
52,21,2,3,3,7,1,2,2,1,1,0,1,1,0,0,1,1,1,1,1
53,17,2,2,1,7,3,1,3,2,0,1,0,0,0,0,1,1,1,1,0
54,21,3,2,1,8,1,1,1,2,1,1,0,1,0,0,1,1,1,0,0
55,21,5,3,2,7,5,4,3,3,1,1,1,1,0,0,1,1,1,1,0
56,21,5,5,1,6,1,3,4,3,0,0,0,0,0,1,1,0,1,0,0
57,19,3,2,1,10,1,1,1,3,1,0,0,0,0,0,1,0,1,0,1
58,21,4,4,2,4,2,2,3,1,1,1,1,0,0,0,1,1,1,0,0
59,20,4,2,1,8,2,1,2,1,1,1,0,1,0,0,1,1,1,0,0
60,21,4,4,1,6,2,1,3,2,1,1,1,1,0,0,1,1,1,1,0
61,24,3,4,2,6,2,2,3,3,0,0,0,1,0,0,0,1,0,0,0
62,19,5,3,2,5,5,4,2,2,0,0,0,0,0,1,1,1,1,1,1
63,21,5,3,1,5,4,4,4,4,0,1,1,1,0,0,1,1,1,1,1
64,20,4,4,1,8,3,3,3,3,1,0,1,0,0,0,0,1,1,1,1
65,19,2,2,1,6,3,3,2,2,1,0,0,1,1,0,1,1,1,0,1
66,21,5,4,2,7,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0
67,21,4,4,1,6,4,3,1,3,0,0,0,0,0,1,0,0,1,0,1
